Wed, Sep 01, 2021
3:26:49 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
142.1600000	4697.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0513015	0.0638685	0.1141884	0.0952389	-0.0516316	-0.0649708	-0.1161833	-0.0956254
143.4450000	121.8899994	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0393432	0.0461700	0.0074088	-0.0065063	-0.0396108	-0.0470927	-0.0085158	0.0059727
144.7150000	-4508.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0539351	0.0607597	-0.0950805	-0.1153318	-0.0542092	-0.0619007	0.0945103	0.1152930
146.2850000	4695.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0541949	0.0673862	0.1151149	0.0950648	-0.0545791	-0.0685604	-0.1171949	-0.0953790
147.5900000	121.9800034	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0419750	0.0493155	0.0079338	-0.0069925	-0.0422588	-0.0502646	-0.0090354	0.0065116
148.9900000	-4507.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0570238	0.0644243	-0.0948361	-0.1163331	-0.0573490	-0.0656489	0.0943183	0.1164012
150.5550000	4695.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0573514	0.0712012	0.1160933	0.0948698	-0.0577385	-0.0724422	-0.1183022	-0.0951111
151.8500000	122.0100021	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0448135	0.0527050	0.0084880	-0.0075367	-0.0451322	-0.0537182	-0.0096175	0.0070945
153.1700000	-4508.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0601465	0.0681083	-0.0945809	-0.1173382	-0.0605002	-0.0694196	0.0941243	0.1175383
154.7250000	4694.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0604745	0.0749964	0.1170676	0.0946768	-0.0608914	-0.0763302	-0.1194193	-0.0948228
156.0100000	121.7799988	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0476656	0.0561150	0.0090512	-0.0080912	-0.0480002	-0.0571865	-0.0101964	0.0077084
157.3050000	-4506.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0632406	0.0717676	-0.0943143	-0.1183386	-0.0636415	-0.0731927	0.0939173	0.1186964
159.0300000	4693.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0636519	0.0788836	0.1180703	0.0944622	-0.0641154	-0.0803332	-0.1205790	-0.0944945
160.4500000	121.9499969	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0506822	0.0597520	0.0096741	-0.0086797	-0.0510687	-0.0608929	-0.0108232	0.0083678
161.7300000	-4506.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0665352	0.0756859	-0.0939962	-0.1194136	-0.0670085	-0.0772360	0.0937049	0.1199643
163.4400000	4692.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0669355	0.0829210	0.1191149	0.0942351	-0.0674538	-0.0845077	-0.1217885	-0.0941423
164.7150000	122.0400009	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0536229	0.0633063	0.0102988	-0.0092725	-0.0540743	-0.0645301	-0.0114334	0.0090315
165.9950000	-4504.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0697142	0.0794746	-0.0936775	-0.1204601	-0.0703100	-0.0812070	0.0934852	0.1212363
